channel,month,year,total_cost,total_sales,cost_per_sale
Affinity,Aug,2018,6218.0,4049,1.535687824154112
Afiliate,Aug,2018,23409.43,3417,6.850872110038045
Website,Aug,2018,2420.0,5878,0.4117046614494726
Affinity,Dec,2018,1889.0,2017,0.9365394149727317
Afiliate,Dec,2018,11908.8,2398,4.966138448707256
Website,Dec,2018,2117.0,4569,0.46333989932151454
Affinity,Jul,2018,8109.0,6280,1.2912420382165606
Afiliate,Jul,2018,27692.77,4139,6.690690988161392
Website,Jul,2018,3024.0,8431,0.3586763136045546
Affinity,Jun,2018,7101.0,6105,1.163144963144963
Afiliate,Jun,2018,22693.37,3836,5.9158941605839415
Website,Jun,2018,2722.0,6861,0.39673516980032064
Affinity,May,2018,7992.0,6175,1.294251012145749
Afiliate,May,2018,22896.16,3633,6.302273603082852
Website,May,2018,1512.0,5544,0.2727272727272727
Affinity,Nov,2018,1547.64,1985,0.7796675062972293
Afiliate,Nov,2018,10485.79,1991,5.266594676042191
Website,Nov,2018,1512.0,4593,0.32919660352710645
Affinity,Oct,2018,1561.74,2156,0.724369202226345
Afiliate,Oct,2018,13405.93,2344,5.719253412969284
Website,Oct,2018,2117.0,4280,0.49462616822429906
Affinity,Sep,2018,2044.0,2426,0.8425391591096455
Afiliate,Sep,2018,16828.97,2837,5.93195981670779
Website,Sep,2018,2117.0,3880,0.5456185567010309
Affinity,Apr,2019,1882.0,2589,0.7269215913480108
Afiliate,Apr,2019,22728.3,3225,7.04753488372093
Website,Apr,2019,3327.0,5676,0.5861522198731501
Affinity,Feb,2019,2148.0,2485,0.8643863179074447
Afiliate,Feb,2019,19141.55,2644,7.2396180030257185
Website,Feb,2019,3024.0,5122,0.5903943771964076
Affinity,Jan,2019,1761.0,2853,0.6172450052576236
Afiliate,Jan,2019,19695.54,2940,6.699163265306122
Website,Jan,2019,3024.0,5231,0.5780921429936915
Affinity,Mar,2019,2486.0,2943,0.8447162759089365
Afiliate,Mar,2019,25317.54,3311,7.646493506493507
Website,Mar,2019,3327.0,5631,0.5908364411294619
